att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0.356223,0.449859,0.333586,0.451721,0.528263,1.011833,0.637155,0.927331,0.517109,0.486159,0
0.370033,0.879929,0.537822,0.572111,0.029403,0.77665,0.62157,0.862775,0.458512,0.010808,1
0.715634,-0.441986,0.137728,0.519778,0.495733,0.202372,0.181268,0.63868,0.346901,0.859985,1
0.453703,0.558182,0.338347,0.339145,0.487528,0.856777,0.765996,0.781043,0.394736,0.609441,0
0.821416,0.846137,0.429156,0.360329,0.343222,0.125311,0.565258,0.290491,0.562475,1.018285,1
0.663516,0.238235,0.645158,0.87874,0.387326,0.578484,0.32097,0.891485,0.715096,0.450687,0
0.140459,0.920864,0.419135,0.968311,0.515856,0.336232,0.391926,0.077617,0.245581,1.020403,1
1.2576,-0.133881,0.716476,0.42056,1.378064,0.416514,1.337225,1.301204,1.486509,1.071007,0
0.348694,0.826882,0.574517,0.551881,0.01938,0.740499,0.61156,0.907107,0.410229,0.033249,1
0.389284,0.833438,0.563211,0.54187,0.048127,0.759442,0.654695,0.858338,0.500228,0.045889,1
0.649407,0.871394,0.554814,0.360542,0.300571,-0.006479,0.50026,0.236606,0.718319,0.898573,1
0.224578,1.481647,0.630443,0.604907,0.67716,0.580669,0.690894,0.441966,-0.019559,1.186614,1
1.089842,0.746943,0.179347,0.122553,0.216498,0.422086,0.639137,0.394192,0.390414,0.901363,1
0.438583,0.959559,0.474204,0.687655,0.041128,0.904609,0.670782,1.022134,0.498286,0.057434,1
0.149414,0.470851,0.540655,0.56902,0.199792,0.631713,0.187621,0.017631,0.155581,0.17383,1
0.789083,0.845254,0.436231,0.339808,0.299147,0.08278,0.557875,0.261998,0.595198,0.969792,1
0.309899,0.477055,0.371938,0.43519,0.488778,0.967308,0.681629,0.864827,0.566597,0.436375,0
0.466063,0.426279,0.25725,0.36268,0.460813,0.917003,0.600299,0.979278,0.515694,0.585443,0
0.455818,0.715992,0.283722,0.776499,0.173259,0.686133,0.658624,0.729327,0.396714,0.081889,1
0.446121,0.78622,0.636188,0.648624,-0.047427,0.673662,0.518251,0.934799,0.376022,0.103824,1
0.382142,0.482037,0.352249,0.466196,0.491229,0.98727,0.622554,0.891728,0.530635,0.50845,0
0.46759,-0.097292,1.165761,0.369277,0.077194,1.099032,0.606298,1.434586,1.200067,-0.246298,0
0.777725,-0.309396,0.684262,0.27236,0.091224,0.821289,0.270726,0.314739,0.595598,0.978679,0
0.912807,0.799915,-0.257637,0.773221,1.516593,-0.377357,0.699603,0.936212,0.913838,0.78581,0
0.614683,0.930947,0.63426,0.506624,0.442011,-0.188492,0.647268,0.160177,0.775709,1.083975,1
0.421921,0.510965,0.371097,0.431013,0.505818,0.992612,0.673335,0.855605,0.514988,0.546596,0
0.764531,0.471856,0.380986,1.004877,0.186986,0.765334,0.256842,0.784798,0.819517,0.219926,0
0.749054,0.710691,0.275434,0.324305,0.404867,-0.033431,0.474961,0.302729,0.739615,0.928249,1
0.410438,0.910928,0.56776,0.572304,0.012314,0.736838,0.644303,0.920053,0.452733,0.002092,1
0.080469,0.956242,0.325469,0.463847,-0.121168,0.722821,0.606276,0.689983,0.664842,-0.09002,1
0.309804,0.542212,0.359375,0.402864,0.508185,1.030506,0.544566,0.824126,0.541078,0.534627,0
0.675262,0.276605,0.592628,0.86093,0.340453,0.611895,0.287494,0.885866,0.735361,0.423503,0
0.779434,1.166545,0.423707,1.077536,0.261687,0.530026,0.397676,0.962544,0.406772,-0.42867,1
0.408936,0.461617,0.348758,0.417449,0.474939,1.042701,0.607666,0.950869,0.546984,0.467297,0
0.379585,0.487343,0.320375,0.438846,0.525028,0.999926,0.627366,0.911521,0.527455,0.50229,0
0.966024,1.163125,0.770534,0.585499,0.580366,0.243323,0.749244,0.017707,0.511083,1.281027,1
0.532789,0.986838,0.253787,1.265694,0.500408,0.683314,0.329947,-0.164234,0.128455,0.859714,1
0.41289,0.942734,0.480453,0.55124,0.053199,0.740029,0.614828,0.924442,0.379396,-0.05626,1
0.357276,0.407976,0.318889,0.399778,0.446482,1.060315,0.597731,0.870261,0.574297,0.430864,0
0.761163,0.811491,0.413314,0.361551,0.308047,0.055265,0.586109,0.274367,0.568815,0.967757,1
0.783127,0.851801,0.422857,0.343982,0.285085,0.066463,0.560923,0.246332,0.591855,0.963596,1
0.453538,0.340369,0.288241,0.859892,0.53419,0.748529,0.64727,1.085533,0.411189,0.575102,0
-0.546542,0.358872,-0.224606,0.781869,1.37043,0.446686,1.439944,1.993453,1.861849,1.77923,0
0.386184,0.381925,0.407755,0.365827,0.567254,1.076493,0.552369,0.897968,0.605798,0.400013,0
0.367064,0.873026,0.509212,0.607145,0.013212,0.743314,0.647298,0.847997,0.448178,0.008286,1
0.580753,1.044115,0.319134,0.693193,-0.098815,0.757877,0.55204,0.738888,0.409679,0.104706,1
0.914054,0.76437,0.447292,0.131528,0.449144,-0.065342,0.741227,0.262717,0.658631,0.886106,1
0.697088,-0.175386,1.101046,0.665335,0.807205,0.636356,-0.194693,1.056043,0.781218,0.197076,0
0.146007,0.445733,0.568977,0.587838,0.21766,0.638762,0.188379,-0.024653,0.153672,0.213765,1
0.162209,1.053122,0.746645,0.614224,-0.050994,0.903754,0.523025,0.878994,0.227097,-0.086095,1
0.377618,0.468597,0.335176,0.449062,0.510046,1.004291,0.627615,0.908935,0.513026,0.487062,0
0.428626,0.817845,0.446244,0.469596,0.084803,0.730635,0.757616,0.758244,0.56575,0.080353,1
0.655768,0.768635,0.558107,0.445701,0.392124,-0.003501,0.559522,0.143776,0.622484,0.963594,1
0.264004,0.497562,0.309398,0.766439,0.385401,1.148071,0.537767,0.640193,0.188597,0.643563,0
0.587121,0.285251,0.476308,1.012363,0.414923,0.70171,0.419123,0.941341,0.637219,0.270202,0
0.350652,0.506811,0.352033,0.458092,0.491374,1.049134,0.586048,0.903246,0.460986,0.525298,0
0.428141,0.394391,0.310143,0.5128,0.506574,0.937579,0.675901,0.892894,0.475272,0.535295,0
0.539527,0.116443,1.017931,0.809956,0.062059,1.069811,0.123944,0.670666,1.017946,0.748782,0
0.379202,0.859667,0.505928,0.558922,0.043164,0.708623,0.571734,0.895349,0.401176,-0.04462,1
0.81131,0.852146,0.452519,0.315653,0.30384,0.059095,0.529296,0.277786,0.609082,1.003753,1
0.329806,0.418124,0.375401,0.440436,0.514853,0.967589,0.624502,0.870176,0.478094,0.441808,0
0.681786,0.2321,0.613326,0.94562,0.383482,0.640223,0.381361,0.882764,0.819255,0.51326,0
0.461423,-0.054939,0.443261,0.314156,0.880008,0.157316,0.541614,0.475647,0.294381,0.491991,1
0.952217,0.897866,0.734446,0.229418,0.172868,-0.206172,0.411185,0.186082,0.381338,0.671188,1
0.71018,0.322422,0.551925,0.923609,0.28219,0.68779,0.221065,0.801178,0.775065,0.34676,0
0.4039,0.722049,-0.652693,0.813289,0.561534,-0.390941,0.611921,1.429746,1.229138,0.835715,0
0.560898,-0.234659,0.111645,0.289155,0.626971,-0.104653,0.623045,0.325719,0.409573,0.311221,1
0.653688,0.684806,0.416334,0.823852,-0.158377,0.701698,0.340164,0.605705,0.209757,-0.072526,1
0.605316,0.421314,0.899499,0.506205,0.385237,0.937559,0.505597,1.147518,0.698889,0.116191,0
0.33699,0.735592,-0.03166,0.390321,0.513883,1.127185,-0.058654,0.216637,1.193696,0.001294,0
0.376422,0.463819,0.335505,0.444859,0.504922,0.997092,0.631346,0.909701,0.506566,0.489828,0
0.733176,0.58607,1.000705,-0.114162,1.016713,-0.244682,0.474051,0.006124,0.981836,0.683529,1
0.482157,1.06131,0.716727,0.723538,0.050076,0.967644,0.71083,0.808568,0.339229,-0.018973,1
0.253137,0.920097,0.639687,0.653578,-0.064552,0.764489,0.723929,0.787726,0.413588,0.096917,1
0.524318,0.024355,0.47532,1.020094,0.238299,0.557115,0.133686,0.769888,0.580178,0.633661,0
0.535585,0.903474,0.297331,0.114377,0.504463,0.292423,0.815768,0.59234,0.66085,0.653071,1
1.017596,0.969968,0.419579,-0.137139,0.592454,-0.407994,0.337825,0.361143,0.660381,1.317661,1
0.260351,0.753146,0.518295,0.508873,-0.0128,0.878842,0.554534,0.958657,0.354635,0.055503,1
0.419067,0.521985,0.404708,0.442901,0.477924,1.042961,0.592729,0.955316,0.524694,0.471633,0
0.652299,1.001908,0.700386,0.434628,0.058518,0.524721,0.711336,0.802991,0.67271,-0.294887,1
0.865209,0.732257,0.410841,0.297387,0.424972,0.192156,0.649094,0.28454,0.643253,0.848998,1
0.336321,0.724742,0.201423,0.658983,0.579648,0.567543,0.616636,-0.02575,0.488985,0.994696,1
0.552428,0.616251,0.281866,0.4861,0.213315,0.737198,0.525674,0.685279,0.462638,-0.168706,1
1.081455,-0.767856,0.11362,0.999585,0.289231,0.764444,0.959651,0.245074,0.330626,0.600226,1
0.407365,0.503637,0.304993,0.4891,0.550602,0.994829,0.652663,0.873147,0.460472,0.488088,0
0.277844,0.236699,0.258418,0.052099,0.979086,0.238303,0.5521,0.433897,0.58556,0.69015,1
0.571112,0.493086,0.621874,0.090221,0.380585,1.107783,0.155678,1.29361,0.372135,0.367163,1
0.711309,0.437134,0.797941,0.915496,0.513619,0.707987,0.310402,0.869761,0.585514,0.547476,0
0.54439,0.013093,0.383607,0.233676,0.794256,0.055646,0.469702,0.480122,0.405021,0.483088,1
0.605916,0.662221,0.761402,0.751276,0.099651,0.534247,0.800236,1.05859,0.69885,-0.146187,1
0.254464,0.478821,0.672828,0.627412,0.80122,0.447568,-0.070409,1.337424,0.277263,0.354665,0
0.536722,0.692601,0.171838,0.228669,0.202664,1.092413,0.328838,1.276223,0.356771,-0.255971,1
0.970664,0.001903,1.12023,0.336231,0.248787,-0.140624,-0.027125,0.379445,1.159302,0.892779,1
0.952491,0.63735,0.256422,0.50263,0.300397,0.269545,0.078919,1.110874,0.784518,0.378723,0
1.18268,0.765792,-0.156277,-0.290384,0.262416,-0.557741,0.264392,0.186541,0.749203,0.433312,1
0.251853,0.729114,0.617807,0.727807,0.141808,0.791977,0.52344,0.832131,0.447997,0.013166,1
0.840645,0.033765,0.343217,0.850227,0.58312,0.447014,0.106201,1.003789,0.831638,0.402616,0
0.199416,0.815112,0.386264,0.936713,0.459443,0.37408,0.208603,0.115712,0.203516,1.000527,1
0.141265,0.595519,0.947958,0.512715,0.659377,0.703083,0.256748,0.066143,0.584069,0.285394,1
0.662705,0.310427,0.576435,0.877763,0.366282,0.632726,0.295032,0.839489,0.761702,0.388464,0
0.378689,0.498477,0.377966,0.468077,0.549063,0.953431,0.61381,0.884291,0.481661,0.502508,0
0.670362,0.096051,0.476903,0.204445,0.839288,0.062747,0.5058,0.725159,0.202403,0.302826,1
0.385016,0.460251,0.36106,0.459635,0.51812,0.975065,0.609589,0.886024,0.509882,0.493462,0
0.430826,0.566309,0.440945,0.418725,0.184908,0.935383,0.124716,0.526715,0.974976,0.835949,0
0.095344,0.471362,0.605073,0.563736,0.162195,0.612918,0.15771,-0.009975,0.126899,0.14914,1
0.501542,1.04148,0.443593,0.619171,0.636789,0.690989,0.602906,-0.142815,0.551888,0.704839,1
0.689437,0.301955,0.599373,0.847607,0.365425,0.585704,0.265481,0.846295,0.765967,0.407198,0
0.730937,0.410013,0.207672,0.332615,0.967749,0.006036,0.963644,0.939764,0.947188,0.93706,0
0.465271,0.654141,0.415981,0.792199,0.146805,0.863722,0.674473,1.042961,0.337035,0.176315,1
0.193873,0.550256,0.892904,0.460066,0.711406,0.651154,0.221452,0.024212,0.592777,0.29178,1
0.676718,-0.027711,0.204519,0.31595,0.626046,0.143039,0.694582,0.641676,0.332353,0.571549,1
0.124479,0.513928,0.506275,0.588919,0.190346,0.649062,0.185572,0.022713,0.172067,0.209928,1
0.678715,0.065638,0.703278,0.73368,0.5338,0.42906,0.170801,1.103535,0.506311,0.656133,0
1.026047,0.701804,0.834735,0.396413,0.251245,0.426044,0.075875,1.248356,0.39654,0.001711,0
0.375989,0.46924,0.336544,0.44302,0.503141,0.997034,0.625845,0.903901,0.513879,0.496231,0
0.370373,0.862069,0.564413,0.636724,0.007306,0.748958,0.645012,0.898116,0.385186,-0.022509,1
0.681212,0.878926,0.325149,0.396847,0.17106,-0.117691,0.528552,0.220575,0.516667,0.936213,1
0.901571,-0.335497,0.989766,1.504379,0.605479,1.747901,-0.401439,0.905619,-0.260137,-0.421994,0
0.208137,1.091633,0.680993,0.690279,-0.065603,1.133641,0.778857,1.029338,0.672276,-0.027837,1
0.372804,0.483934,0.30784,0.448635,0.486078,1.016865,0.656179,0.911119,0.534126,0.482441,0
0.699194,0.246288,0.594271,0.875649,0.347505,0.623744,0.262056,0.883102,0.772636,0.431376,0
0.35637,0.524529,0.321926,0.390314,0.500595,0.973126,0.571163,0.880516,0.537862,0.525225,0
0.274298,0.873031,0.443167,0.588802,-0.072096,0.674259,0.610351,0.968255,0.573973,0.082718,1
0.355476,0.441223,0.388374,0.382004,0.529002,1.032138,0.6606,0.844206,0.540178,0.539415,0
0.795412,0.866448,0.440667,0.360311,0.252883,0.025802,0.539022,0.303201,0.620103,0.98059,1
0.642515,0.483891,0.726234,-0.238976,0.303175,0.254225,0.514276,0.521524,0.691023,0.895738,1
0.275663,0.938407,0.646132,0.354582,0.224736,1.001558,0.361379,1.187592,0.262918,-0.066045,1
0.011009,0.96059,0.244167,0.939496,0.364168,0.214539,0.162046,-0.041095,0.083014,1.084065,1
0.384387,1.243372,0.463781,0.201527,0.289754,0.656003,0.29008,1.199392,0.177723,-0.01852,1
0.859765,0.096021,0.536987,0.578171,0.057315,0.418341,0.411849,1.172405,1.0366,0.175546,0
0.262466,0.519479,0.112411,0.418532,0.174594,0.530051,0.105489,0.966677,0.262414,0.96777,0
1.394133,0.742468,-0.000935,0.649558,1.216213,1.550602,0.720184,0.601468,1.179995,-0.034509,0
0.946466,0.705338,0.930774,0.258649,0.74221,-0.065937,0.601759,0.326022,0.937273,0.652259,1
0.798132,0.838879,0.44675,0.341886,0.292087,0.090232,0.557657,0.25749,0.590048,0.962582,1
0.397518,0.846941,0.517823,0.576012,-0.021062,0.747698,0.67528,0.896562,0.514219,-0.052937,1
0.312826,1.010337,0.594353,0.401528,-0.053383,0.844119,0.510776,1.039004,0.513132,-0.134857,1
0.401599,0.515938,0.27719,0.453962,0.51657,0.947676,0.590823,0.966214,0.449236,0.479993,0
0.644781,0.801058,0.414643,0.343197,0.338419,-0.05241,0.402909,0.275663,0.491605,0.875017,1
0.415086,0.359734,0.427323,0.405675,0.531188,0.87298,0.596697,0.95615,0.648253,0.624753,0
0.569695,0.394088,0.492344,1.207406,1.115745,1.411601,-0.459736,0.418662,0.777156,-0.153439,0
0.404244,0.890815,0.684285,0.425315,0.378824,0.251777,0.708949,0.785468,0.441359,0.15976,1
0.407591,0.100813,1.033662,0.738507,-0.102859,0.658639,0.75137,0.962415,1.102565,0.556596,0
0.800767,0.624646,0.354599,0.549144,0.314396,0.087211,0.757805,0.472443,0.591118,1.178965,1
0.133109,0.622021,0.946542,0.50735,0.642128,0.726534,0.287881,0.081293,0.562157,0.304613,1
0.389778,0.922601,0.4046,0.691235,-0.10011,0.863823,0.533665,0.868129,0.464613,-0.026095,1
0.731746,0.784212,0.663746,0.214881,0.554554,0.121192,0.515546,0.457605,0.784971,1.032117,1
0.752419,0.788945,0.388131,0.300712,0.233693,0.143536,0.580579,0.227866,0.601948,0.995779,1
0.376339,0.422357,0.302825,0.488029,0.53901,1.050405,0.598269,0.915496,0.5505,0.515309,0
0.154374,0.582941,0.953268,0.49962,0.654688,0.724598,0.280159,0.057728,0.571884,0.293974,1
0.50587,0.281308,0.778961,0.840273,0.496206,0.799507,0.307658,0.605765,0.737045,0.614518,0
0.817847,0.833446,0.477057,0.379787,0.33436,0.016635,0.526579,0.222661,0.598643,0.915176,1
0.688062,-0.095101,-0.028004,1.225937,0.151324,-0.1187,0.912174,0.938192,0.763162,0.095306,0
0.665865,0.208407,0.878893,0.672701,0.109127,0.893892,0.419918,0.782297,1.060393,0.543357,0
0.593931,0.206042,0.731904,0.986636,0.427724,0.656431,0.158086,0.943973,0.843632,0.434401,0
0.404261,0.423087,0.331098,0.466418,0.480178,0.99564,0.664877,0.930296,0.545123,0.532625,0
0.136145,0.608153,0.966979,0.50931,0.691386,0.718688,0.224928,0.04162,0.628184,0.295784,1
0.337647,0.429851,0.296144,0.446543,0.52884,0.96862,0.608951,0.871673,0.535771,0.50465,0
0.896589,0.317522,0.597914,0.951194,0.551572,0.886175,-0.02597,0.618667,0.761399,0.667254,0
0.473826,1.078299,0.359154,0.018983,0.584721,-0.010548,0.727962,0.590664,0.534863,1.221202,1
0.359061,1.050643,0.418376,0.619271,-0.221228,0.928451,0.471182,1.103039,0.337951,-0.100241,1
0.249241,0.801987,0.384809,0.700754,0.045411,0.881691,0.6494,0.917002,0.579935,-0.086924,1
0.286611,0.841711,0.648962,0.494725,0.026128,0.710049,0.649625,0.790971,0.543507,0.0933,1
0.085338,-0.446985,0.565837,0.462495,1.564866,-0.685418,1.463727,0.645295,-0.170621,1.353356,0
0.1269,0.522782,0.595301,0.582139,0.214727,0.655554,0.202068,0.055245,0.139314,0.15713,1
0.375694,0.466376,0.334082,0.44543,0.50247,1.002017,0.629681,0.913867,0.509357,0.488898,0
0.29844,1.297636,0.197819,0.750571,-0.046159,0.802679,1.024835,0.679719,0.784955,-0.370577,1
0.535101,-0.343992,0.023549,0.234787,0.542545,0.719235,0.157196,0.260674,0.32633,0.180798,0
0.260717,0.554562,0.5493,0.413908,0.122396,1.060557,0.50676,0.896866,0.745567,-0.234586,1
0.462222,-0.035413,0.392535,0.228338,0.724125,0.055089,0.515434,0.534242,0.423625,0.425227,1
0.758287,0.816586,0.473294,0.324743,0.285478,0.108707,0.567531,0.289494,0.62989,1.006118,1
0.67182,0.697503,1.003381,0.142788,0.501492,-0.285091,0.437398,-0.130277,0.916188,0.486412,1
1.345331,0.739003,0.302481,0.296626,-0.197098,0.218508,-0.018924,1.080565,0.897373,0.616795,1
0.123609,0.846487,0.520164,1.065386,0.404328,0.281275,0.16773,0.065514,0.209584,0.86364,1
0.802454,0.840047,0.429395,0.350882,0.298901,0.064334,0.561003,0.273132,0.599416,0.969963,1
0.380454,0.454416,0.340678,0.443149,0.505619,1.007545,0.640353,0.905537,0.508662,0.486216,0
0.524643,0.772133,0.675345,0.154255,0.123374,0.357094,0.3756,0.437499,0.529212,1.051552,1
1.011025,0.856865,0.848699,0.126595,0.670664,0.024053,0.649395,0.232415,0.88623,0.702078,1
0.386753,0.69298,0.428641,0.354796,0.025452,0.937164,0.413606,1.049789,0.429149,0.162723,1
0.675821,-0.091441,-0.289802,0.351771,0.38177,0.407309,1.506771,0.978525,0.766223,0.697242,0
0.463121,0.122321,0.882638,0.702649,0.110924,0.54422,0.129764,0.645565,0.71733,0.246123,0
-0.354923,0.201042,-0.349206,1.425389,0.824268,-0.280065,0.027638,0.372106,-0.067619,0.570282,1
0.991203,1.141299,0.05542,0.067067,0.684853,-0.413285,0.818341,0.636613,0.324763,0.819563,1
0.802406,0.942459,0.374,0.284081,0.32134,0.053456,0.666186,0.198792,0.513759,0.952927,1
0.710713,0.405737,0.203374,0.337129,0.986958,0.034279,0.977363,0.95108,0.957034,0.949734,0
0.344262,0.327145,0.440226,0.521174,0.233025,1.003183,0.235903,1.266464,0.32336,0.951382,0
0.29602,0.434388,0.320076,0.360647,0.519505,1.040838,0.56739,0.881464,0.440502,0.568856,0
0.405746,0.927223,0.554228,0.371636,-0.132672,0.866173,0.632422,1.042266,0.669646,-0.008683,1
0.791336,0.844397,0.434549,0.340069,0.297189,0.084935,0.55765,0.261157,0.595461,0.96681,1
0.99513,0.904857,0.831492,0.247473,0.650231,-0.066545,0.609335,0.09538,0.860214,0.707375,1
0.789612,0.389305,0.749061,0.589,0.246618,0.469432,0.513999,0.89871,0.805199,0.73519,0
0.142187,0.593442,0.951246,0.510864,0.656484,0.705046,0.265969,0.063577,0.590547,0.288559,1
0.461052,0.261838,0.414148,0.779785,0.364227,0.736262,0.475246,0.892828,0.855701,0.350494,0
0.767409,0.84216,0.415084,0.332955,0.320186,0.094552,0.538124,0.274384,0.595356,0.964258,1
1.118433,1.166589,1.155933,0.088492,0.375482,-0.08112,0.475818,0.524992,0.927559,0.991378,1
0.474501,1.084727,0.863542,0.52455,0.533271,0.415153,0.946684,0.652151,0.515802,0.672303,1
0.215123,0.514445,0.690962,1.388185,0.884753,0.760257,0.772742,0.974447,0.363581,0.725863,0
0.347463,0.890003,0.570471,0.590078,0.094385,0.709831,0.560451,0.867065,0.441291,0.002707,1
0.37782,0.477344,0.326165,0.424294,0.520958,1.022759,0.626385,0.92868,0.522066,0.470443,0
0.34191,0.824428,0.56895,0.623177,-0.014124,0.733472,0.66876,0.932195,0.398247,0.001201,1
0.488239,0.910369,0.574707,0.64419,0.024975,0.836999,0.463565,0.859051,0.43567,-0.084934,1
0.420912,0.392416,0.424357,0.382914,0.592466,0.929705,0.622189,0.808897,0.431795,0.405276,0
1.00781,0.318252,0.921593,0.940967,0.401276,1.152215,0.570731,0.470217,1.05106,0.397198,0
0.202755,0.694215,0.723462,0.412509,0.293304,0.923429,0.780089,0.797738,0.443089,0.073061,1
0.378513,0.473703,0.335446,0.417521,0.510962,0.994533,0.655537,0.907981,0.518791,0.477909,0
0.777148,1.171249,0.355204,0.462101,0.033666,0.390463,0.697548,0.205298,0.511111,1.137732,1
0.585826,0.800629,0.42449,0.440168,0.206667,1.051314,0.444899,0.92919,0.710545,-0.208599,1
0.591992,1.246419,0.479466,0.505345,-0.048792,-0.089396,0.649355,0.573815,0.593863,1.019251,1
0.50346,-0.087093,0.505448,0.076032,0.783613,0.10982,0.688708,0.367559,0.340582,0.563531,1
0.42658,0.083409,0.787376,0.616604,0.513571,0.586145,0.237351,1.091297,0.84562,0.489616,0
0.567704,0.870191,0.480295,0.284014,0.061012,0.227084,0.504398,0.085852,0.447506,1.199218,1
0.383505,0.469367,0.337706,0.45675,0.50419,0.999672,0.634072,0.921617,0.521261,0.501414,0
0.199478,0.847781,0.335817,1.150225,0.649972,0.573421,0.398487,0.341823,0.093627,1.069593,1
-0.065628,0.352612,0.85224,0.967238,0.864882,0.696134,0.046527,-0.146657,0.015096,0.730357,1
0.369511,0.855359,0.536273,0.590306,0.037746,0.75947,0.630298,0.884566,0.459117,-0.004439,1
0.514338,0.855406,0.162223,0.206584,0.6725,-0.205264,0.285896,0.417591,0.944315,0.973521,1
0.410636,0.423469,0.303174,0.507148,0.574075,1.037162,0.655652,0.956738,0.430666,0.432605,0
0.779333,0.894235,0.352962,0.337845,0.377162,0.110039,0.57009,0.198329,0.589991,0.960026,1
0.789811,0.859247,0.383855,0.371028,0.309565,0.084546,0.512802,0.254452,0.611491,1.020642,1
1.333685,0.428594,0.77077,-0.203929,0.592081,0.083676,0.044979,-0.256228,0.163849,0.630778,1
0.681538,0.175652,0.467449,0.717662,0.44977,0.799528,0.399827,0.709864,0.55626,0.513054,0
1.361429,-0.535064,1.392501,0.262747,-0.352571,0.685449,0.251855,0.418551,0.370235,0.736833,0
0.317016,0.809064,0.538722,0.513422,0.106849,0.745956,0.599792,0.92175,0.475208,-0.060039,1
0.679129,0.051476,0.21709,0.193405,1.015467,0.041013,0.320299,0.620968,0.482618,0.487008,1
0.142222,0.480626,0.543768,0.577286,0.206061,0.621399,0.185654,0.009746,0.160908,0.177361,1
0.481373,0.020122,0.349034,0.248381,0.80056,0.122124,0.521699,0.533953,0.36593,0.444137,1
0.345726,0.507923,0.398488,0.42432,0.56148,1.023731,0.632584,0.937232,0.523958,0.484647,0
0.30515,0.883985,0.474515,0.534706,0.105662,0.708922,0.580445,0.899471,0.40384,-0.047819,1
0.375165,0.461271,0.33636,0.441403,0.501839,0.997435,0.633506,0.907306,0.509976,0.490013,0
0.645096,0.410237,0.564517,0.836192,0.386783,0.502917,0.293508,0.80348,0.614486,0.324222,0
0.984083,0.083875,0.604017,0.630379,0.58477,0.57081,0.099305,0.871814,0.738046,0.722989,0
0.423539,0.97633,0.571532,0.699529,-0.012398,0.581793,0.590339,1.045998,0.278152,-0.16478,1
0.718483,0.776179,0.289334,0.251877,0.081744,0.009813,0.686461,0.270845,0.854371,1.14221,1
